Contest ID,Problem Index,Name,Type,Points,Tags,Solved Count,Rating
2025,G,Variable Damage,PROGRAMMING,N/A,data structures,71,N/A
2025,F,Choose Your Queries,PROGRAMMING,N/A,"constructive algorithms, dfs and similar, dp, graphs, greedy, trees",442,N/A
2025,E,Card Game,PROGRAMMING,N/A,"combinatorics, dp, fft, greedy, math",1281,N/A
2025,D,Attribute Checks,PROGRAMMING,N/A,"brute force, data structures, dp, implementation, math, two pointers",4494,N/A
2025,C,New Game,PROGRAMMING,N/A,"binary search, brute force, greedy, implementation, sortings, two pointers",11917,N/A
2025,B,"Binomial Coefficients, Kind Of",PROGRAMMING,N/A,"combinatorics, dp, math",14259,N/A
2025,A,Two Screens,PROGRAMMING,N/A,"binary search, greedy, strings, two pointers",20246,N/A
2022,E2,Billetes MX (Hard Version),PROGRAMMING,1000.0,"binary search, combinatorics, data structures, dsu, graphs",233,N/A
2022,E1,Billetes MX (Easy Version),PROGRAMMING,2250.0,"2-sat, binary search, combinatorics, constructive algorithms, dfs and similar, dsu, graphs",280,N/A
2022,D2,Asesino (Hard Version),PROGRAMMING,2000.0,"constructive algorithms, dp, interactive",352,N/A
2022,D1,Asesino (Easy Version),PROGRAMMING,1750.0,"binary search, constructive algorithms, implementation, interactive",2112,N/A
2022,C,Gerrymandering,PROGRAMMING,1750.0,"dp, implementation",2799,N/A
2022,B,Kar Salesman,PROGRAMMING,1000.0,"binary search, greedy, math",7662,N/A
2022,A,Bus to Pénjamo,PROGRAMMING,750.0,"greedy, implementation, math",11316,N/A
2021,E3,Digital Village (Extreme Version),PROGRAMMING,1000.0,"data structures, dfs and similar, dp, dsu, graphs, greedy, math, trees",331,2800
2021,E2,Digital Village (Hard Version),PROGRAMMING,750.0,"data structures, dp, dsu, graphs, math, trees",652,2500
2021,E1,Digital Village (Easy Version),PROGRAMMING,1750.0,"brute force, data structures, dfs and similar, dp, dsu, fft, graphs, greedy, implementation, math, trees",1280,2300
2021,D,"Boss, Thirsty",PROGRAMMING,2500.0,"dp, greedy, implementation",520,2500
2021,C2,Adjust The Presentation (Hard Version),PROGRAMMING,1000.0,"constructive algorithms, data structures, greedy, implementation, sortings",3122,1900
2021,C1,Adjust The Presentation (Easy Version),PROGRAMMING,750.0,"constructive algorithms, greedy",10239,1300
2021,B,Maximize Mex,PROGRAMMING,750.0,"brute force, greedy, math, number theory",12587,1200
2021,A,Meaning Mean,PROGRAMMING,500.0,"data structures, greedy, math, sortings",16974,800
2020,F,Count Leaves,PROGRAMMING,2750.0,"dp, math, number theory",163,2900
2020,E,Expected Power,PROGRAMMING,2000.0,"bitmasks, dp, math, probabilities",2698,2000
